"kind","test","classification","lane","root_cause","source_line"
"FAILED","tests/auth/test_auth_magic_link.py::test_magic_link_request_is_generic_and_delivers","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_magic_link.py::test_magic_link_request_is_generic_and_delivers"
"FAILED","tests/auth/test_auth_magic_link.py::test_magic_link_consume_creates_session","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_magic_link.py::test_magic_link_consume_creates_session"
"FAILED","tests/auth/test_auth_magic_link.py::test_magic_link_invalid_token_rejected","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_magic_link.py::test_magic_link_invalid_token_rejected"
"FAILED","tests/auth/test_auth_magic_link.py::test_magic_link_issue_is_audited","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_magic_link.py::test_magic_link_issue_is_audited"
"FAILED","tests/auth/test_auth_oauth.py::test_oauth_login_creates_user_and_session[google]","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_oauth.py::test_oauth_login_creates_user_and_session[google]"
"FAILED","tests/auth/test_auth_oauth.py::test_oauth_login_creates_user_and_session[microsoft]","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_oauth.py::test_oauth_login_creates_user_and_session[microsoft]"
"FAILED","tests/auth/test_auth_oauth.py::test_oauth_login_creates_user_and_session[apple]","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_oauth.py::test_oauth_login_creates_user_and_session[apple]"
"FAILED","tests/auth/test_auth_oauth.py::test_oauth_login_creates_user_and_session[linkedin]","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_oauth.py::test_oauth_login_creates_user_and_session[linkedin]"
"FAILED","tests/auth/test_auth_oauth.py::test_oauth_same_subject_returns_same_user","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_oauth.py::test_oauth_same_subject_returns_same_user"
"FAILED","tests/auth/test_auth_password.py::test_register_returns_tokens_and_persists_user","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_register_returns_tokens_and_persists_user"
"FAILED","tests/auth/test_auth_password.py::test_login_succeeds_with_correct_password","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_login_succeeds_with_correct_password"
"FAILED","tests/auth/test_auth_password.py::test_login_is_case_insensitive_on_email","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_login_is_case_insensitive_on_email"
"FAILED","tests/auth/test_auth_password.py::test_login_wrong_password_is_401_and_audited","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_login_wrong_password_is_401_and_audited"
